"codpanelista2","wave","sex","age","education","femindexa","femindexb","femindexc","femindexd","femindexe","femindexf","femindexg","femindexh","femindexi","immigeco","immicult","polintr","constpref","populisma","populismd","populismf","populismi","populismj","populismn","lrself","femstrike","femdemonstrate","feminfo","femtalk","vote2016","voteintentionspain","hhincome","livingpartner","indeprespect","curiosmanners","selfconfobed","empathybehave","idcode","time","nwaves","year","female","age4","cohort","g3cohort","edu3","edu3_1","edu3_2","edu3_3","hincome","hincome17all","hincome18all","hincome19all","hincome20all","hincome_all","x3hincall","dhincome_all","intpol","dintpol","ideol","ideo5","a_respect","a_manner","a_behave","a_obedient","authoritarian","natveco","natvcult","nativism","ip_populisma","ip_populismd","ip_populismf","ip_populismi","ip_populismj","ip_populismn","pop6amz","orgterr","imsex_1a","imsex_2b","imsex_3c","imsex_4d","imsex_5e","imsex_6f","imsex_7g","imsex_8h","imsex_9i","msexism","swim_msex","p8m_strike","p8m_demonst","p8m_mobiliz","p8m_talked","ip8m","vim_vox","vim_pp","rv16all","t1edu3","t1x3hincall","t1dintpol","t1ideo5","t1rv16all","t2partner","t2ip8m","l2vim_vox","lsvim_vox","l2authoritarian","lsauthoritarian","l2ideol","lsideol","l2nativism","lsnativism","l2orgterr","lsorgterr","l2pop6amz","lspop6amz","l2msexism","lsmsexism","l2swim_msex","lsswim_msex","posmsex","negmsex","posswim","negswim"
2675,9,2,33,10,3,5,3,3,3,5,5,5,5,6,6,2,3,6,4,6,5,6,7,3,NA,NA,NA,NA,3,3,7,NA,2,2,2,1,2675,0,4,2017,1,2,33,2,3,0,0,1,7,7,5,6,7,7,2,0.545454561710358,0.666666686534882,1,0.300000011920929,2,1,1,0,0,0.5,0.400000005960464,0.600000023841858,0.5,0.833333313465118,0.5,0.833333313465118,0.666666686534882,0.833333313465118,1,0.777777791023254,0.5,3,3,3,3,3,3,3,5,5,0.407407402992249,0.375,NA,NA,NA,NA,NA,0,0,2,3,2,1,2,2,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2675,10,2,34,9,3,4,3,3,4,6,6,3,3,5,7,2,4,5,4,6,5,6,6,4,2,2,2,1,3,3,5,1,2,1,2,1,2675,1,4,2018,1,2,33,2,3,0,0,1,5,7,5,6,7,5,1,0.363636374473572,0.666666686534882,1,0.400000005960464,2,1,0,0,0,0.25,0.5,0.699999988079071,0.600000023841858,0.666666686534882,0.5,0.833333313465118,0.666666686534882,0.833333313465118,0.833333313465118,0.722222208976746,0.75,3,4,3,3,4,2,2,3,3,0.333333343267441,0.333333343267441,0,0,0,1,0.25,0,0,2,3,2,1,2,2,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2675,11,2,34,10,3,5,3,3,3,5,5,3,4,2,10,3,4,5,5,5,5,5,7,3,2,2,1,1,NA,3,6,1,2,2,2,1,2675,2,4,2019,1,2,33,2,3,0,0,1,6,7,5,6,7,6,2,0.454545468091965,0.333333343267441,0,0.300000011920929,2,1,1,0,0,0.5,0.800000011920929,1,0.899999976158142,0.666666686534882,0.666666686534882,0.666666686534882,0.666666686534882,0.666666686534882,1,0.722222208976746,0.75,3,3,3,3,3,3,3,3,4,0.351851850748062,0.333333343267441,0,0,1,1,0.5,0,0,2,3,2,1,2,2,1,0.25,0,0,0.5,-0.25,0.300000011920929,0.0999999940395355,0.5,0.100000023841858,0.5,0.25,0.777777791023254,-0.0555555820465088,0.407407402992249,-0.0740740597248077,0.375,-0.0416666567325592,0,-0.0740740597248077,0,-0.0416666567325592
2675,12,2,36,9,3,6,3,2,3,6,6,5,4,5,7,2,3,5,5,5,5,5,6,3,1,1,1,1,NA,5,7,1,2,1,2,1,2675,3,4,2020,1,3,33,2,3,0,0,1,7,7,5,6,7,7,2,0.545454561710358,0.666666686534882,1,0.300000011920929,2,1,0,0,0,0.25,0.5,0.699999988079071,0.600000023841858,0.666666686534882,0.666666686534882,0.666666686534882,0.666666686534882,0.666666686534882,0.833333313465118,0.694444477558136,0.5,3,2,3,2,3,2,2,5,4,0.314814805984497,0.291666656732559,1,1,1,1,1,0,0,2,3,2,1,2,2,1,0.25,0,0,0.25,0.25,0.400000005960464,-0.0999999940395355,0.600000023841858,0.299999952316284,0.75,0,0.722222208976746,0,0.333333343267441,0.0185185074806213,0.333333343267441,0,0.0185185074806213,0,0,0
2677,9,1,39,8,4,4,4,4,4,4,4,4,4,6,5,3,4,4,4,4,4,4,4,3,NA,NA,NA,NA,56,54,9,NA,1,1,2,1,2677,0,4,2017,0,3,39,2,3,0,0,1,9,9,9,9,10,9,3,0.727272748947144,0.333333343267441,0,0.300000011920929,2,0,0,0,0,0,0.400000005960464,0.5,0.449999988079071,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,4,4,4,4,4,4,4,4,4,0.5,0.5,NA,NA,NA,NA,NA,0,0,4,3,3,0,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2677,10,1,40,8,4,4,4,4,4,4,4,4,4,5,5,2,5,4,4,4,4,4,4,4,2,2,2,2,NA,1,99,0,1,1,2,1,2677,1,4,2018,0,3,39,2,3,0,0,1,NA,9,9,9,10,9,3,0.727272748947144,0.666666686534882,1,0.400000005960464,2,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,4,4,4,4,4,4,4,4,4,0.5,0.5,0,0,0,0,0,0,0,4,3,3,0,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2677,11,1,41,8,3,5,3,4,3,5,5,4,3,7,5,2,5,4,3,3,6,4,5,4,2,2,2,1,NA,1,99,0,1,1,2,1,2677,2,4,2019,0,3,39,2,3,0,0,1,NA,9,9,9,10,9,3,0.727272748947144,0.666666686534882,1,0.400000005960464,2,0,0,0,0,0,0.300000011920929,0.5,0.400000005960464,0.5,0.333333343267441,0.333333343267441,0.833333313465118,0.5,0.666666686534882,0.527777791023254,1,3,3,3,4,3,3,3,4,3,0.370370388031006,0.375,0,0,0,1,0.25,0,0,4,3,3,0,2,4,0,0,0,0,0,0,0.300000011920929,0.0999999940395355,0.449999988079071,0.050000011920929,0.75,0.25,0.5,0,0.5,0,0.5,0,0,0,0,0
2677,12,1,42,8,3,3,3,5,3,3,5,3,3,6,4,2,4,4,3,5,2,4,5,4,2,2,2,2,NA,1,10,0,1,2,2,1,2677,3,4,2020,0,3,39,2,3,0,0,1,10,9,9,9,10,10,3,0.818181812763214,0.666666686534882,1,0.400000005960464,2,0,1,0,0,0.25,0.400000005960464,0.400000005960464,0.400000005960464,0.5,0.333333343267441,0.666666686534882,0.16666667163372,0.5,0.666666686534882,0.472222238779068,0.75,3,5,3,5,3,5,3,3,3,0.444444447755814,0.458333343267441,0,0,0,0,0,0,0,4,3,3,0,2,4,0,0,0,0,0,0,0.400000005960464,0,0.5,-0.0999999940395355,1,0,0.5,0.0277777910232544,0.5,-0.129629611968994,0.5,-0.125,0,-0.129629611968994,0,-0.125
2678,9,1,31,9,1,6,5,4,5,6,6,7,2,10,4,2,3,6,1,4,1,1,2,2,NA,NA,NA,NA,1,1,7,NA,2,1,2,1,2678,0,2,2017,0,2,31,2,3,0,0,1,7,7,6,6,6,7,2,0.545454561710358,0.666666686534882,1,0.200000002980232,1,1,0,0,0,0.25,0,0.400000005960464,0.200000002980232,0.833333313465118,0,0.5,0,0,0.16666667163372,0.25,0.5,1,2,5,4,5,2,2,7,2,0.388888865709305,0.416666656732559,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2678,10,1,32,10,5,2,4,3,6,5,4,6,5,8,4,2,3,3,2,2,2,1,2,3,2,2,2,2,1,1,6,0,2,1,2,1,2678,1,2,2018,0,2,31,2,3,0,0,1,6,7,6,6,6,6,2,0.454545468091965,0.666666686534882,1,0.300000011920929,2,1,0,0,0,0.25,0.200000002980232,0.400000005960464,0.300000011920929,0.333333343267441,0.16666667163372,0.16666667163372,0.16666667163372,0,0.16666667163372,0.16666667163372,0.5,5,6,4,3,6,3,4,6,5,0.611111104488373,0.604166686534882,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
